PROJECTCOD,CertificateNo,Received,Reported,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,Dsptch_L_D,SmpDspDate,SmpRetDate,Lab_L_D,Labjobno,AnalysisLD,SampWt_g_D,Wtkg,Wtcru_dry_kg,Tot_Weight_CRU,Pass_2mm_pct,Rmnd_2mm_pct,WT_MinusFrac_CRU_g,WT_PlusFrac_CRU_g,Tot_Weight_PUL_g,Pass_75um_pct,Rmnd_75um_pct,WT_MinusFrac_PUL_g,WT_PlusFrac_PUL_g,Ag_ppm,Ag_ppm_GMD,Ag_ppm_LDD,Ag_ppm_UDD,Al_pct,Al_pct_GMD,Al_pct_LDD,Al_pct_UDD,As_ppm,As_ppm_GMD,As_ppm_LDD,As_ppm_UDD,Ba_ppm,Ba_ppm_GMD,Ba_ppm_LDD,Ba_ppm_UDD,Be_ppm,Be_ppm_GMD,Be_ppm_LDD,Be_ppm_UDD,Bi_ppm,Bi_ppm_GMD,Bi_ppm_LDD,Bi_ppm_UDD,Ca_pct,Ca_pct_GMD,Ca_pct_LDD,Ca_pct_UDD,Cd_ppm,Cd_ppm_GMD,Cd_ppm_LDD,Cd_ppm_UDD,Co_ppm,Co_ppm_GMD,Co_ppm_LDD,Co_ppm_UDD,Cr_ppm,Cr_ppm_GMD,Cr_ppm_LDD,Cr_ppm_UDD,Cu_ppm,Cu_ppm_GMD,Cu_ppm_LDD,Cu_ppm_UDD,Fe_pct,Fe_pct_GMD,Fe_pct_LDD,Fe_pct_UDD,K_pct,K_pct_GMD,K_pct_LDD,K_pct_UDD,La_ppm,La_ppm_GMD,La_ppm_LDD,La_ppm_UDD,Li_ppm,Li_ppm_GMD,Li_ppm_LDD,Li_ppm_UDD,Mg_pct,Mg_pct_GMD,Mg_pct_LDD,Mg_pct_UDD,Mn_ppm,Mn_ppm_GMD,Mn_ppm_LDD,Mn_ppm_UDD,Mo_ppm,Mo_ppm_GMD,Mo_ppm_LDD,Mo_ppm_UDD,Na_pct,Na_pct_GMD,Na_pct_LDD,Na_pct_UDD,Ni_ppm,Ni_ppm_GMD,Ni_ppm_LDD,Ni_ppm_UDD,P_pct,P_pct_GMD,P_pct_LDD,P_pct_UDD,Pb_ppm,Pb_ppm_GMD,Pb_ppm_LDD,Pb_ppm_UDD,S_pct,S_pct_GMD,S_pct_LDD,S_pct_UDD,Sb_ppm,Sb_ppm_GMD,Sb_ppm_LDD,Sb_ppm_UDD,Sc_ppm,Sc_ppm_GMD,Sc_ppm_LDD,Sc_ppm_UDD,Sn_ppm,Sn_ppm_GMD,Sn_ppm_LDD,Sn_ppm_UDD,Sr_ppm,Sr_ppm_GMD,Sr_ppm_LDD,Sr_ppm_UDD,Ti_pct,Ti_pct_GMD,Ti_pct_LDD,Ti_pct_UDD,V_ppm,V_ppm_GMD,V_ppm_LDD,V_ppm_UDD,W_ppm,W_ppm_GMD,W_ppm_LDD,W_ppm_UDD,Y_ppm,Y_ppm_GMD,Y_ppm_LDD,Y_ppm_UDD,Zn_ppm,Zn_ppm_GMD,Zn_ppm_LDD,Zn_ppm_UDD,Zr_ppm,Zr_ppm_GMD,Zr_ppm_LDD,Zr_ppm_UDD,Ag_ppm_AAS42S,Ag_ppm_AAS42S_GMD,Ag_ppm_AAS42S_LDD,Ag_ppm_AAS42S_UDD,Cu_pct,Cu_pct_GMD,Cu_pct_LDD,Cu_pct_UDD,Pb_pct,Pb_pct_GMD,Pb_pct_LDD,Pb_pct_UDD,Zn_pct,Zn_pct_GMD,Zn_pct_LDD,Zn_pct_UDD,SampleID_orig,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50],Pb_pct[AAS42S|LDL:0.002|UDL:2.5],Zn_pct[AAS42S|LDL:0.001|UDL:5]
Tannenberg,TR2502684,08-Nov-25,14-Nov-25,,PAL01284,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,0.84,0.84,0.84,,,,,,,,,,,<2,ICP40B,2,10,2.16,ICP40B,0.01,15,10,ICP40B,3,10000,155,ICP40B,1,10000,0.6,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,2,ICP40B,1,10000,4,ICP40B,1,10000,19,ICP40B,1,10000,9.5,ICP40B,0.5,10000,1.42,ICP40B,0.01,15,0.75,ICP40B,0.01,15,8.7,ICP40B,0.5,10000,34,ICP40B,1,10000,3.62,ICP40B,0.01,15,2912,ICP40B,2,10000,<1,ICP40B,1,10000,0.20,ICP40B,0.01,15,13,ICP40B,1,10000,0.02,ICP40B,0.01,15,162,ICP40B,2,10000,>5,ICP40B,0.01,5,<5,ICP40B,5,10000,2.9,ICP40B,0.5,10000,<10,ICP40B,10,10000,897,ICP40B,0.5,5000,0.08,ICP40B,0.01,15,25,ICP40B,2,10000,<10,ICP40B,10,10000,6.0,ICP40B,0.5,10000,517,ICP40B,1,10000,24.9,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5,PAL01284,0.84,0.84,-,-,-,-,-,-,-,-,-,-,<2,2.16,10,155,0.6,<5,>15,2,4,19,9.5,1.42,0.75,8.7,34,3.62,2912,<1,0.20,13,0.02,162,>5,<5,2.9,<10,897,0.08,25,<10,6.0,517,24.9,-,-,-,-
Tannenberg,TR2502684,08-Nov-25,14-Nov-25,,PAL01285,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,0.75,0.75,0.75,,,,,,,,,,,<2,ICP40B,2,10,2.02,ICP40B,0.01,15,9,ICP40B,3,10000,136,ICP40B,1,10000,0.6,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,3,ICP40B,1,10000,17,ICP40B,1,10000,6.4,ICP40B,0.5,10000,1.36,ICP40B,0.01,15,0.65,ICP40B,0.01,15,11.7,ICP40B,0.5,10000,32,ICP40B,1,10000,2.95,ICP40B,0.01,15,3422,ICP40B,2,10000,<1,ICP40B,1,10000,0.26,ICP40B,0.01,15,13,ICP40B,1,10000,0.02,ICP40B,0.01,15,59,ICP40B,2,10000,0.44,ICP40B,0.01,5,<5,ICP40B,5,10000,3.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,255,ICP40B,0.5,5000,0.07,ICP40B,0.01,15,23,ICP40B,2,10000,<10,ICP40B,10,10000,10.1,ICP40B,0.5,10000,113,ICP40B,1,10000,25.7,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5,PAL01285,0.75,0.75,-,-,-,-,-,-,-,-,-,-,<2,2.02,9,136,0.6,<5,>15,<1,3,17,6.4,1.36,0.65,11.7,32,2.95,3422,<1,0.26,13,0.02,59,0.44,<5,3.0,<10,255,0.07,23,<10,10.1,113,25.7,-,-,-,-
Tannenberg,TR2502684,08-Nov-25,14-Nov-25,,PAL01286,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,1.15,1.15,1.15,500.0,77.20,22.80,386.0,114.0,20.0,85.00,15.00,17.0,3.0,<2,ICP40B,2,10,2.97,ICP40B,0.01,15,11,ICP40B,3,10000,191,ICP40B,1,10000,0.9,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,5,ICP40B,1,10000,23,ICP40B,1,10000,11.4,ICP40B,0.5,10000,0.91,ICP40B,0.01,15,1.04,ICP40B,0.01,15,13.3,ICP40B,0.5,10000,41,ICP40B,1,10000,0.62,ICP40B,0.01,15,1833,ICP40B,2,10000,<1,ICP40B,1,10000,0.29,ICP40B,0.01,15,14,ICP40B,1,10000,0.03,ICP40B,0.01,15,100,ICP40B,2,10000,0.49,ICP40B,0.01,5,<5,ICP40B,5,10000,4.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,357,ICP40B,0.5,5000,0.11,ICP40B,0.01,15,28,ICP40B,2,10000,<10,ICP40B,10,10000,8.7,ICP40B,0.5,10000,179,ICP40B,1,10000,33.6,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5,PAL01286,1.15,1.15,500.0,77.20,22.80,386.0,114.0,20.0,85.00,15.00,17.0,3.0,<2,2.97,11,191,0.9,<5,>15,<1,5,23,11.4,0.91,1.04,13.3,41,0.62,1833,<1,0.29,14,0.03,100,0.49,<5,4.0,<10,357,0.11,28,<10,8.7,179,33.6,-,-,-,-
Tannenberg,TR2502684,08-Nov-25,14-Nov-25,,PAL01287,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,1.18,1.18,1.18,,,,,,,,,,,<2,ICP40B,2,10,3.01,ICP40B,0.01,15,7,ICP40B,3,10000,188,ICP40B,1,10000,1.0,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,5,ICP40B,1,10000,23,ICP40B,1,10000,8.6,ICP40B,0.5,10000,1.18,ICP40B,0.01,15,1.09,ICP40B,0.01,15,12.8,ICP40B,0.5,10000,45,ICP40B,1,10000,0.54,ICP40B,0.01,15,1824,ICP40B,2,10000,<1,ICP40B,1,10000,0.26,ICP40B,0.01,15,15,ICP40B,1,10000,0.03,ICP40B,0.01,15,52,ICP40B,2,10000,0.60,ICP40B,0.01,5,<5,ICP40B,5,10000,4.3,ICP40B,0.5,10000,<10,ICP40B,10,10000,1129,ICP40B,0.5,5000,0.11,ICP40B,0.01,15,30,ICP40B,2,10000,<10,ICP40B,10,10000,9.2,ICP40B,0.5,10000,28,ICP40B,1,10000,30.2,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5,PAL01287,1.18,1.18,-,-,-,-,-,-,-,-,-,-,<2,3.01,7,188,1.0,<5,>15,<1,5,23,8.6,1.18,1.09,12.8,45,0.54,1824,<1,0.26,15,0.03,52,0.60,<5,4.3,<10,1129,0.11,30,<10,9.2,28,30.2,-,-,-,-
Tannenberg,TR2502684,08-Nov-25,14-Nov-25,,*DUP-PAL01287,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,0.00,0.00,0.00,,,,,,,,,,,<2,ICP40B,2,10,2.97,ICP40B,0.01,15,7,ICP40B,3,10000,184,ICP40B,1,10000,1.0,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,5,ICP40B,1,10000,22,ICP40B,1,10000,8.8,ICP40B,0.5,10000,1.15,ICP40B,0.01,15,1.07,ICP40B,0.01,15,12.7,ICP40B,0.5,10000,43,ICP40B,1,10000,0.54,ICP40B,0.01,15,1791,ICP40B,2,10000,<1,ICP40B,1,10000,0.25,ICP40B,0.01,15,13,ICP40B,1,10000,0.03,ICP40B,0.01,15,52,ICP40B,2,10000,0.57,ICP40B,0.01,5,<5,ICP40B,5,10000,4.2,ICP40B,0.5,10000,<10,ICP40B,10,10000,1096,ICP40B,0.5,5000,0.11,ICP40B,0.01,15,27,ICP40B,2,10000,<10,ICP40B,10,10000,9.2,ICP40B,0.5,10000,28,ICP40B,1,10000,30.3,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5,*DUP-PAL01287,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,2.97,7,184,1.0,<5,>15,<1,5,22,8.8,1.15,1.07,12.7,43,0.54,1791,<1,0.25,13,0.03,52,0.57,<5,4.2,<10,1096,0.11,27,<10,9.2,28,30.3,-,-,-,-
Tannenberg,TR2502684,08-Nov-25,14-Nov-25,,PAL01288,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,1.05,1.05,1.05,,,,,,,,,,,<2,ICP40B,2,10,4.11,ICP40B,0.01,15,7,ICP40B,3,10000,216,ICP40B,1,10000,1.3,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,7,ICP40B,1,10000,29,ICP40B,1,10000,8.8,ICP40B,0.5,10000,1.42,ICP40B,0.01,15,1.39,ICP40B,0.01,15,18.8,ICP40B,0.5,10000,51,ICP40B,1,10000,0.56,ICP40B,0.01,15,1574,ICP40B,2,10000,<1,ICP40B,1,10000,0.47,ICP40B,0.01,15,17,ICP40B,1,10000,0.03,ICP40B,0.01,15,31,ICP40B,2,10000,0.44,ICP40B,0.01,5,<5,ICP40B,5,10000,5.6,ICP40B,0.5,10000,<10,ICP40B,10,10000,1430,ICP40B,0.5,5000,0.17,ICP40B,0.01,15,39,ICP40B,2,10000,<10,ICP40B,10,10000,12.3,ICP40B,0.5,10000,17,ICP40B,1,10000,53.2,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5,PAL01288,1.05,1.05,-,-,-,-,-,-,-,-,-,-,<2,4.11,7,216,1.3,<5,>15,<1,7,29,8.8,1.42,1.39,18.8,51,0.56,1574,<1,0.47,17,0.03,31,0.44,<5,5.6,<10,1430,0.17,39,<10,12.3,17,53.2,-,-,-,-
Tannenberg,TR2502684,08-Nov-25,14-Nov-25,,PAL01289,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,1.11,1.11,1.11,,,,,,,,,,,<2,ICP40B,2,10,4.49,ICP40B,0.01,15,10,ICP40B,3,10000,203,ICP40B,1,10000,1.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,7,ICP40B,1,10000,33,ICP40B,1,10000,13.4,ICP40B,0.5,10000,1.61,ICP40B,0.01,15,1.59,ICP40B,0.01,15,19.0,ICP40B,0.5,10000,58,ICP40B,1,10000,0.65,ICP40B,0.01,15,1523,ICP40B,2,10000,<1,ICP40B,1,10000,0.44,ICP40B,0.01,15,25,ICP40B,1,10000,0.03,ICP40B,0.01,15,105,ICP40B,2,10000,0.39,ICP40B,0.01,5,5,ICP40B,5,10000,6.1,ICP40B,0.5,10000,<10,ICP40B,10,10000,1385,ICP40B,0.5,5000,0.17,ICP40B,0.01,15,44,ICP40B,2,10000,<10,ICP40B,10,10000,13.0,ICP40B,0.5,10000,57,ICP40B,1,10000,48.9,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5,PAL01289,1.11,1.11,-,-,-,-,-,-,-,-,-,-,<2,4.49,10,203,1.5,<5,>15,<1,7,33,13.4,1.61,1.59,19.0,58,0.65,1523,<1,0.44,25,0.03,105,0.39,5,6.1,<10,1385,0.17,44,<10,13.0,57,48.9,-,-,-,-
Tannenberg,TR2502684,08-Nov-25,14-Nov-25,,PAL01290,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,1.06,1.06,1.06,,,,,,,,,,,<2,ICP40B,2,10,6.12,ICP40B,0.01,15,11,ICP40B,3,10000,174,ICP40B,1,10000,2.1,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,9,ICP40B,1,10000,37,ICP40B,1,10000,15.1,ICP40B,0.5,10000,1.95,ICP40B,0.01,15,2.08,ICP40B,0.01,15,25.9,ICP40B,0.5,10000,74,ICP40B,1,10000,0.78,ICP40B,0.01,15,1480,ICP40B,2,10000,<1,ICP40B,1,10000,0.59,ICP40B,0.01,15,27,ICP40B,1,10000,0.04,ICP40B,0.01,15,164,ICP40B,2,10000,0.32,ICP40B,0.01,5,<5,ICP40B,5,10000,8.2,ICP40B,0.5,10000,<10,ICP40B,10,10000,305,ICP40B,0.5,5000,0.22,ICP40B,0.01,15,50,ICP40B,2,10000,<10,ICP40B,10,10000,16.6,ICP40B,0.5,10000,46,ICP40B,1,10000,69.5,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5,PAL01290,1.06,1.06,-,-,-,-,-,-,-,-,-,-,<2,6.12,11,174,2.1,<5,>15,<1,9,37,15.1,1.95,2.08,25.9,74,0.78,1480,<1,0.59,27,0.04,164,0.32,<5,8.2,<10,305,0.22,50,<10,16.6,46,69.5,-,-,-,-
Tannenberg,TR2502684,08-Nov-25,14-Nov-25,,PAL01291,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,1.04,1.04,1.04,,,,,,,,,,,<2,ICP40B,2,10,7.62,ICP40B,0.01,15,5,ICP40B,3,10000,270,ICP40B,1,10000,2.4,ICP40B,0.5,2500,<5,ICP40B,5,10000,9.36,ICP40B,0.01,15,<1,ICP40B,1,10000,6,ICP40B,1,10000,63,ICP40B,1,10000,76.2,ICP40B,0.5,10000,2.39,ICP40B,0.01,15,2.61,ICP40B,0.01,15,35.1,ICP40B,0.5,10000,86,ICP40B,1,10000,2.00,ICP40B,0.01,15,1663,ICP40B,2,10000,<1,ICP40B,1,10000,0.78,ICP40B,0.01,15,25,ICP40B,1,10000,0.05,ICP40B,0.01,15,133,ICP40B,2,10000,0.18,ICP40B,0.01,5,5,ICP40B,5,10000,10.1,ICP40B,0.5,10000,<10,ICP40B,10,10000,189,ICP40B,0.5,5000,0.30,ICP40B,0.01,15,74,ICP40B,2,10000,<10,ICP40B,10,10000,18.4,ICP40B,0.5,10000,32,ICP40B,1,10000,97.2,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5,PAL01291,1.04,1.04,-,-,-,-,-,-,-,-,-,-,<2,7.62,5,270,2.4,<5,9.36,<1,6,63,76.2,2.39,2.61,35.1,86,2.00,1663,<1,0.78,25,0.05,133,0.18,5,10.1,<10,189,0.30,74,<10,18.4,32,97.2,-,-,-,-
Tannenberg,TR2502684,08-Nov-25,14-Nov-25,,PAL01292,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,0.49,0.49,0.49,,,,,,,,,,,<2,ICP40B,2,10,7.30,ICP40B,0.01,15,12,ICP40B,3,10000,646,ICP40B,1,10000,2.0,ICP40B,0.5,2500,<5,ICP40B,5,10000,5.91,ICP40B,0.01,15,<1,ICP40B,1,10000,10,ICP40B,1,10000,43,ICP40B,1,10000,9.7,ICP40B,0.5,10000,2.86,ICP40B,0.01,15,2.43,ICP40B,0.01,15,31.8,ICP40B,0.5,10000,74,ICP40B,1,10000,3.15,ICP40B,0.01,15,1711,ICP40B,2,10000,1,ICP40B,1,10000,0.80,ICP40B,0.01,15,25,ICP40B,1,10000,0.05,ICP40B,0.01,15,156,ICP40B,2,10000,1.06,ICP40B,0.01,5,6,ICP40B,5,10000,9.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,192,ICP40B,0.5,5000,0.27,ICP40B,0.01,15,66,ICP40B,2,10000,<10,ICP40B,10,10000,14.3,ICP40B,0.5,10000,25,ICP40B,1,10000,94.4,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5,PAL01292,0.49,0.49,-,-,-,-,-,-,-,-,-,-,<2,7.30,12,646,2.0,<5,5.91,<1,10,43,9.7,2.86,2.43,31.8,74,3.15,1711,1,0.80,25,0.05,156,1.06,6,9.5,<10,192,0.27,66,<10,14.3,25,94.4,-,-,-,-
